Symbol,Sector
ACC.NS,Cement & Cement Products
ADANIPORT.NS,Services
AMBUJACEM.NS,Cement & Cement Products
ASIANPAIN.NS,Consumer Goods
AXISBANK.NS,Financial Services
BANKBAROD.NS,Financial Services
BHEL.NS,Industrial Manufacturing
BPCL.NS,Energy
BHARTIART.NS,Telecom
BOSCHLTD.NS,Automobile
CAIRN.NS,Energy
CIPLA.NS,Pharma
COALINDIA.NS,Metals
DRREDDY.NS,Pharma
GAIL.NS,Energy
GRASIM.NS,Cement & Cement Products
HCLTECH.NS,IT
HDFCBANK.NS,Financial Services
HEROMOTOC.NS,Automobile
HINDALCO.NS,Metals
HINDUNILVR.BO,Consumer Goods
HDFC.NS,Financial Services
ITC.NS,Consumer Goods
ICICIBANK.NS,Financial Services
IDEA.NS,Telecom
INDUSINDBK.BO,Financial Services
INFY.NS,IT
KOTAKBANK.NS,Financial Services
LT.NS,Construction
LUPIN.NS,Pharma
M&M.NS,Automobile
MARUTI.NS,Automobile
NTPC.NS,Energy
ONGC.NS,Energy
POWERGRID.NS,Energy
PNB.NS,Financial Services
RELIANCE.NS,Energy
SBIN.NS,Financial Services
SUNPHARMA.NS,Pharma
TCS.NS,IT
TATAMTRDVR.BO,Automobile
TATAPOWER.NS,Energy
TATASTEEL.NS,Metals
TECHM.NS,IT
ULTRACEMC.NS,Cement & Cement Products
VEDL.BO,Metals
WIPRO.NS,IT
YESBANK.NS,Financial Services
ZEEL.NS,Media & Entertainment
